mission,koi_id,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler, 6784235,172.147959,3.167893,0.090892,1
Kepler, 6849310,173.576483,4.311780,0.113546,1
Kepler, 6849310,188.088210,20.050449,0.189833,1
Kepler, 6849310,186.577180,9.767345,0.069104,1
Kepler, 9471974,312.684980,190.320047,0.636833,1
Kepler, 6862603,171.648106,2.861160,0.078467,0
Kepler, 7366258,194.120740,26.444393,0.165763,1
Kepler, 7366258,174.055011,51.539980,0.266642,1
Kepler, 7366258,136.783930,5.902246,0.120846,1
Kepler, 7366258,135.080841,2.382952,0.078650,1
Kepler, 7373451,207.675930,21.022506,0.171133,1
Kepler, 6948054,133.004060,3.219815,0.086008,1
Kepler, 6949607,172.184012,5.912273,0.096892,1
Kepler, 6949607,175.684180,8.985819,0.119192,1
Kepler, 11869052,137.913940,20.545237,0.104875,0
Kepler, 7109675,186.680343,33.601234,0.183567,1
Kepler, 7109675,138.063700,6.766529,0.120850,1
Kepler, 7118364,172.233430,4.347289,0.087600,1
Kepler, 7134976,169.981080,4.601812,0.094196,1
Kepler, 7134976,137.178140,11.187199,0.135500,1
Kepler, 7270230,171.898913,6.998100,0.085367,0
Kepler, 7287995,170.955871,5.954900,0.099550,1
Kepler, 7287995,181.225360,12.039875,0.114013,1
Kepler, 7287995,132.084880,20.837629,0.098892,1
Kepler, 3247396,136.456800,8.811102,0.211179,0
Kepler, 7303253,173.819940,23.589171,0.211375,1
Kepler, 5094751,122.977657,6.481633,0.157667,1
Kepler, 7678434,172.617290,10.371689,0.126458,1
Kepler, 7685981,172.185820,4.408413,0.208833,1
Kepler, 7708215,174.525630,7.942618,0.279292,0
Kepler, 7373451,207.359710,226.890478,0.314917,1
Kepler, 7377033,170.694208,1.956811,0.091492,0
Kepler, 7434875,177.186096,9.439459,0.120746,1
Kepler, 8349582,131.969055,11.523067,0.161488,1
Kepler, 7434875,178.667860,20.477488,0.118183,1
Kepler, 7434875,135.316230,3.336123,0.081733,1
Kepler, 7455287,170.207390,8.010785,0.096333,1
